1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9
UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect,UID,Effect
Collagen-VI,-0.468037126679853,Cytokeratin-19,-0.1658676051638361,Vimentin,-0.19817757067473826,PAR,-0.2949557667887131,ER-alpha,-0.17229503404451438,Puma,-0.22042641320765474,PD-L1,-0.18538123391417766,SF2,-0.1966242938242726,c-Jun_pS73,-0.18344113675789067
PKC-alpha,-0.15216178482811432,Pdcd4,-0.14059904924469718,PD-L1,-0.18203156752923522,AMPKa_pT172,-0.1802007841728813,HER2_pY1248,-0.1688470936920733,PREX1,-0.20330388271242145,p16INK4a,-0.170363022678202,Src_pY527,-0.1572319503320206,EGFR,-0.13154310508795602
PKC-alpha_pS657,-0.11427316908620669,HER3,-0.09570045531070664,XBP1,-0.17549995898218823,Claudin-7,-0.1193357777773878,TAZ,-0.1628130954737909,AMPKa_pT172,-0.19713486388243495,Caveolin-1,-0.1587241358117337,MAPK_pT202_Y204,-0.1505644111391974,MAPK_pT202_Y204,-0.13129155709518667
SOD2,-0.08267565378360986,Puma,-0.09560418308371031,FoxO3a,-0.16822582246481627,14-3-3-epsilon,-0.10986070948596173,Caveolin-1,-0.15219922077281609,TAZ,-0.1920360027401725,HSP27_pS82,-0.1528505967010864,PARP1,-0.14120577467619524,Tau,-0.11748841002386957
Histone-H3,-0.07756665608088525,HER3_pY1289,-0.09441042525572273,14-3-3-epsilon,-0.16314838688548505,PARP1,-0.09868445942988693,Collagen-VI,-0.14481223583783326,PAR,-0.18285742441703398,VEGFR-2,-0.1491328554529137,Beclin,-0.13799421523468136,LDHA,-0.11417598957521641
IGF1R-b,-0.07629705830618935,c-Myc,-0.09261923020294022,CD44,-0.15897038271419206,TSC2_PT1462,-0.08989509086319092,VEGFR-2,-0.13035779813589762,PD-L1,-0.18006705525033265,PAR,-0.1460487191299635,c-Jun_pS73,-0.11207112641845907,Caveolin-1,-0.096677731910137
Bax,-0.06886505719920788,ATP5A,-0.08074055096946613,MSH2,-0.15652411411581146,MAPK_pT202_Y204,-0.07549014428381916,SF2,-0.12810529571856655,TSC2_PT1462,-0.1798732224814418,PKCBETAII_PS660,-0.1436935124111868,Rab11,-0.11007890878284292,TAZ,-0.09194939807933979
Connexin-43,-0.06815877688840025,G6PD,-0.07669686315268755,Hif-1-alpha,-0.15634202056335486,Ets-1,-0.07410542124247256,Paxillin,-0.1276233744918011,XBP1,-0.16365967015886362,S6_pS235_S236,-0.13869792926223964,Bid,-0.10999260908347264,Beclin,-0.08608892094994222
