,cell_line_name,compound_name,time,7,2,6
DMSO AVG,MDAMB468,DMSO,24hrs,-1.4764264143798975,,
GLEEVEC AVG,MDAMB468,GLEEVEC,24hrs,-1.7552043573687952,,
REASON,,,,Emerging process,,
-,,,,,,
DMSO AVG,MDAMB468,DMSO,48hrs,,1.4670280628412788,-2.1706192645276197
GLEEVEC AVG,MDAMB468,GLEEVEC,48hrs,,1.7761263199403743,-1.4796581188352442
REASON,,,,,Emerging process,Disappearing process
-,,,,,,
GLEEVEC AVG,MDAMB468,GLEEVEC,24hrs,-1.7552043573687952,,-1.760562506506344
GLEEVEC AVG,MDAMB468,GLEEVEC,48hrs,-1.4891375774744438,,-1.4796581188352442
REASON,,,,Disappearing process,,Disappearing process
