,cell_line_name,compound_name,time,6,7,4
DMSO AVG,MEL624,DMSO,24hrs,-1.837997279930434,2.798680151807152,
GLEEVEC AVG,MEL624,GLEEVEC,24hrs,-1.07293826247797,1.4791420305882161,
REASON,,,,Disappearing process,Disappearing process,
-,,,,,,
DMSO AVG,MEL624,DMSO,48hrs,,,1.58250994667876
GLEEVEC AVG,MEL624,GLEEVEC,48hrs,,,1.8786097498531629
REASON,,,,,,Emerging process
-,,,,,,
GLEEVEC AVG,MEL624,GLEEVEC,24hrs,,,1.6790215561843076
GLEEVEC AVG,MEL624,GLEEVEC,48hrs,,,1.8786097498531629
REASON,,,,,,Emerging process
