,cell_line_name,compound_name,time,10,15
DMSO AVG,SKMEL5,DMSO,24hrs,-1.1996708106183223,-1.3898595265297415
GLEEVEC AVG,SKMEL5,GLEEVEC,24hrs,-1.7866440490044602,-2.57587060649311
REASON,,,,Emerging process,Emerging process
-,,,,,
DMSO AVG,SKMEL5,DMSO,48hrs,,-1.351789547643043
GLEEVEC AVG,SKMEL5,GLEEVEC,48hrs,,-2.2996991493730845
REASON,,,,,Emerging process
-,,,,,
GLEEVEC AVG,SKMEL5,GLEEVEC,24hrs,-1.7866440490044602,
GLEEVEC AVG,SKMEL5,GLEEVEC,48hrs,-1.4203323524661207,
REASON,,,,Disappearing process,
