,cell_line_name,compound_name,time,5,9,7
DMSO AVG,SKOV3,DMSO,24hrs,-1.1782986333851413,1.6027121258151156,
GLEEVEC AVG,SKOV3,GLEEVEC,24hrs,-2.3395307848446625,1.8970382280199904,
REASON,,,,Emerging process,Emerging process,
-,,,,,,
DMSO AVG,SKOV3,DMSO,48hrs,,,1.5494517445685396
GLEEVEC AVG,SKOV3,GLEEVEC,48hrs,,,1.7848557604999247
REASON,,,,,,Emerging process
-,,,,,,
GLEEVEC AVG,SKOV3,GLEEVEC,24hrs,,1.8970382280199904,
GLEEVEC AVG,SKOV3,GLEEVEC,48hrs,,1.6744305695652613,
REASON,,,,,Disappearing process,
